Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,State,Country,Date first added,CIK,Founded,2019_july_1,2019_october_1,2020_january_2,2020_april_1,2020_june_30
MMM,3M Company,reports,Industrials,Industrial Conglomerates,St. Paul,Minnesota,United States of America,1976-08-09,0000066740,1902,169.15,160.52,174.36,130.7,155.57
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,North Chicago,Illinois,United States of America,1964-03-31,0000001800,1888,83.38,82.99,85.34,76.68,89.01
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,North Chicago,Illinois,United States of America,2012-12-31,0001551152,2013 (1888),68.36,71.66,86.6,71.06,96.44
ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,Danvers,Massachusetts,United States of America,2018-05-31,0000815094,1981,263.09,177.89,172.51,140.95,240.22
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,Dublin,Leinster,Ireland,2011-07-06,0001467373,1989,182.51,190.18,209.1,157.86,212.72
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,Santa Monica,California,United States of America,2015-08-31,0000718877,2008,47.57,52.99,59.52,57.62,75.5
ADBE,Adobe Inc.,reports,Information Technology,Application Software,San Jose,California,United States of America,1997-05-05,0000796343,1982,299.55,278.99,330.0,307.0,424.2
AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,Santa Clara,California,United States of America,2017-03-20,0000002488,1969,31.79,29.05,46.86,44.18,50.28
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,Raleigh,North Carolina,United States of America,2015-07-09,0001158449,1932,154.62,164.49,159.46,89.32,142.75
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,Arlington,Virginia,United States of America,1998-10-02,0000874761,1981,16.27,15.82,19.63,12.87,14.34
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,Columbus,Georgia,United States of America,1999-05-28,0000004977,1955,54.2,51.59,52.33,31.8,35.43
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Services & Infrastructure,Cambridge,Massachusetts,United States of America,2007-07-12,0001086222,1998,81.35,91.55,86.84,89.24,104.99
