"","Estimated number of road traffic deaths","Estimated road traffic death rate (per 100 000 population)"
"Country"," 2016"," 2016"
"Afghanistan","5230 [4502-5958]","15.1"
"Albania","399 [369-428]","13.6"
"Angola","6797 [5304-8289]","23.6"
"Antigua and Barbuda","8","7.9"
"Argentina","6 119","14"
"Armenia","499 [469-530]","17.1"
"Australia","1 351","5.6"
"Austria","452","5.2"
"Azerbaijan","845","8.7"
"Bangladesh","24954 [20730-29177]","15.3"
"Barbados","16","5.6"
"Belarus","841","8.9"
"Belgium","657","5.8"
"Belize","104","28.3"
"Benin","2986 [2458-3514]","27.5"
"Bhutan","139 [121-157]","17.4"
"Bolivia (Plurinational State of)","1687 [1532-1842]","15.5"
"Bosnia and Herzegovina","552 [500-603]","15.7"
"Botswana","535 [465-606]","23.8"
"Brazil","41 007","19.7"
"Bulgaria","730","10.2"
"Burkina Faso","5686 [4499-6872]","30.5"
"Burundi","3651 [2926-4376]","34.7"
"Cabo Verde","135 [118-152]","25"
"Cambodia","2803 [2381-3226]","17.8"
"Cameroon","7066 [5670-8463]","30.1"
"Canada","2 118","5.8"
"Central African Republic","1546 [1209-1884]","33.6"
"Chad","3990 [3110-4870]","27.6"
"Chile","2 245","12.5"
"China","256 180","18.2"
"Colombia","8 987","18.5"
"Comoros","211 [177-245]","26.5"
"Congo","1405 [1124-1687]","27.4"
"Cook Islands","3","17.3"
"Costa Rica","812","16.7"
"Côte d'Ivoire","5582 [4635-6529]","23.6"
"Croatia","340","8.1"
"Cuba","975","8.5"
"Cyprus","60","5.1"
"Czechia","630","5.9"
"Democratic Republic of the Congo","26529 [21142-31915]","33.7"
"Denmark","227","4"
"Dominica","8","10.9"
"Dominican Republic","3 684","34.6"
"Ecuador","3 490","21.3"
"Egypt","9 287","9.7"
"El Salvador","1 411","22.2"
"Equatorial Guinea","300 [221-379]","24.6"
"Eritrea","1255 [1025-1485]","25.3"
"Estonia","80","6.1"
"Eswatini","361 [296-427]","26.9"
"Ethiopia","27326 [21494-33159]","26.7"
"Fiji","86","9.6"
"Finland","260","4.7"
"France","3 585","5.5"
"Gabon","460 [382-538]","23.2"
"Gambia","605 [484-726]","29.7"
"Georgia","599","15.3"
"Germany","3 327","4.1"
"Ghana","7018 [6056-7980]","24.9"
"Greece","1 026","9.2"
"Grenada","10","9.3"
"Guatemala","2 758","16.6"
"Guinea","3490 [2903-4077]","28.2"
"Guinea-Bissau","565 [465-664]","31.1"
"Guyana","190","24.6"
"Honduras","1525 [1388-1661]","16.7"
"Hungary","756","7.8"
"Iceland","22","6.6"
"India","299 091","22.6"
"Indonesia","31726 [27277-36176]","12.2"
"Iran (Islamic Republic of)","16 426","20.5"
"Iraq","7686 [6548-8824]","20.7"
"Ireland","194","4.1"
"Israel","345","4.2"
"Italy","3 333","5.6"
"Jamaica","391","13.6"
"Japan","5 224","4.1"
"Jordan","2306 [1926-2686]","24.4"
"Kazakhstan","3 158","17.6"
"Kenya","13463 [11486-15440]","27.8"
"Kiribati","5","4.4"
"Kuwait","715","17.6"
"Kyrgyzstan","916","15.4"
"Lao People's Democratic Republic","1120 [946-1294]","16.6"
"Latvia","184","9.3"
"Lebanon","1090 [837-1396]","18.1"
"Lesotho","638 [544-733]","28.9"
"Liberia","1657 [1299-2015]","35.9"
"Libya","1645 [1234-2171]","26.1"
"Lithuania","234","8"
"Luxembourg","36","6.3"
"Madagascar","7108 [5895-8321]","28.6"
"Malawi","5601 [4590-6612]","31"
"Malaysia","7374 [6482-8266]","23.6"
"Maldives","4","0.9"
"Mali","4159 [3404-4914]","23.1"
"Malta","26","6.1"
"Mauritania","1064 [891-1236]","24.7"
"Mauritius","173","13.7"
"Mexico","16 725","13.1"
"Micronesia (Federated States of)","2","1.9"
"Mongolia","499 [471-527]","16.5"
"Montenegro","67","10.7"
"Morocco","6917 [6109-7726]","19.6"
"Mozambique","8665 [7081-10250]","30.1"
"Myanmar","10540 [8860-12219]","19.9"
"Namibia","754 [633-875]","30.4"
"Nepal","4622 [3928-5317]","15.9"
"Netherlands","648","3.8"
"New Zealand","364","7.8"
"Niger","5414 [4273-6554]","26.2"
"Nigeria","39802 [32076-47529]","21.4"
"Norway","143","2.7"
"occupied Palestinian territory, including east Jerusalem","252 [189-333]","5.3"
"Oman","713","16.1"
"Pakistan","27582 [23243-31920]","14.3"
"Panama","575","14.3"
"Papua New Guinea","1145 [991-1298]","14.2"
"Paraguay","1 529","22.7"
"Peru","4286 [3898-4674]","13.5"
"Philippines","12 690","12.3"
"Poland","3 698","9.7"
"Portugal","768","7.4"
"Qatar","239","9.3"
"Republic of Korea","4 990","9.8"
"Republic of Moldova","394","9.7"
"Republic of North Macedonia","134","6.4"
"Romania","2 044","10.3"
"Russian Federation","25 969","18"
"Rwanda","3535 [2690-4380]","29.7"
"Saint Lucia","63","35.4"
"Samoa","22 [20-25]","11.3"
"San Marino","0","0"
"Sao Tome and Principe","55 [43-68]","27.5"
"Saudi Arabia","9311 [8268-10354]","28.8"
"Senegal","3609 [3052-4165]","23.4"
"Serbia","649","7.4"
"Seychelles","15","15.9"
"Singapore","155","2.8"
"Slovakia","330","6.1"
"Slovenia","134","6.4"
"Solomon Islands","104 [94-115]","17.4"
"Somalia","3884 [3023-4745]","27.1"
"South Africa","14 507","25.9"
"South Sudan","3661 [2976-4346]","29.9"
"Spain","1 922","4.1"
"Sri Lanka","3096 [2777-3415]","14.9"
"Sudan","10178 [8635-11722]","25.7"
"Suriname","81","14.5"
"Sweden","278","2.8"
"Switzerland","223","2.7"
"Syrian Arab Republic","4890 [4009-5772]","26.5"
"Tajikistan","1577 [1449-1704]","18.1"
"Thailand","22491 [20265-24717]","32.7"
"Timor-Leste","161 [138-184]","12.7"
"Togo","2224 [1800-2649]","29.2"
"Tonga","18","16.8"
"Trinidad and Tobago","165","12.1"
"Tunisia","2595 [2321-2869]","22.8"
"Turkey","9 782","12.3"
"Turkmenistan","823 [765-880]","14.5"
"Uganda","12036 [9454-14618]","29"
"Ukraine","6 089","13.7"
"United Arab Emirates","1678 [1435-1921]","18.1"
"United Kingdom of Great Britain and Northern Ireland","2019","3.1"
"United Republic of Tanzania","16252 [13130-19374]","29.2"
"United States of America","39 888","12.4"
"Uruguay","460","13.4"
"Uzbekistan","3 617","11.5"
"Vanuatu","43 [39-48]","15.9"
"Venezuela (Bolivarian Republic of)","10 640","33.7"
"Viet Nam","24970 [21576-28363]","26.4"
"Zimbabwe","5601 [4602-6599]","34.7"
