Country,Estimated number of road traffic deaths,"Estimated road traffic death rate (per 100,000 population)",Number of registered vehicles,Drivers/passengers of 4-wheeled vehicles (%),Drivers/passengers of motorized 2- or 3-wheelers (%),Cyclists (%),Pedestrians (%),Other/unspecified road users (%),GDP(US$)
Afghanistan,5230.0,15.1,655357.0,,,,,,619.0
Albania,399.0,13.6,563106.0,39.4,11.9,7.8,38.7,2.2,4450.0
Angola,6797.0,23.6,,59.5,,,40.5,0.0,4247.0
Antigua and Barbuda,8.0,7.9,36030.0,62.5,0.0,12.5,25.0,0.0,14803.0
Argentina,6119.0,14.0,21633587.0,47.2,22.2,2.4,8.2,20.0,14400.0
Armenia,499.0,17.1,,59.6,1.5,0.4,34.8,3.7,3937.0
Australia,1351.0,5.6,18326236.0,60.9,19.3,2.2,14.0,3.5,57613.0
Austria,452.0,5.2,7421647.0,43.8,22.0,11.1,16.9,6.3,47718.0
Azerbaijan,845.0,8.7,1330551.0,51.8,0.9,0.9,42.0,4.3,4146.0
Bangladesh,24954.0,15.3,2879708.0,,,,,,1492.0
Barbados,16.0,5.6,117104.0,33.3,33.3,0.0,22.2,11.1,16494.0
Belarus,841.0,8.9,4192291.0,48.5,,9.2,41.3,1.0,5750.0
Belgium,657.0,5.8,7330718.0,57.1,14.4,11.1,12.2,5.0,43289.0
Belize,104.0,28.3,56094.0,18.8,19.8,11.9,24.8,24.8,5077.0
Benin,2986.0,27.5,469761.0,16.8,56.5,0.8,16.8,9.1,826.0
Bhutan,139.0,17.4,86981.0,,,,,,3173.0
Bolivia,1687.0,15.5,1711005.0,60.8,19.7,,2.5,17.1,3394.0
Bosnia and Herzegovina,552.0,15.7,978229.0,,,,,,5181.0
Botswana,535.0,23.8,653274.0,63.1,0.0,2.0,24.7,10.2,7596.0
Brazil,41007.0,19.7,93867016.0,23.2,31.4,3.4,18.1,24.0,9821.0
Bulgaria,730.0,10.2,4031748.0,63.8,7.8,4.9,16.7,6.8,8218.0
Burkina Faso,5686.0,30.5,2106292.0,,,,,,642.0
Burundi,3651.0,34.7,111236.0,,,,,,290.0
Cabo Verde,135.0,25.0,64955.0,,,,,,3245.0
Cambodia,2803.0,17.8,3751715.0,6.2,73.5,2.3,9.6,8.4,1382.0
Cameroon,7066.0,30.1,758145.0,,,,,,1452.0
Canada,2118.0,5.8,23923806.0,64.3,10.8,2.5,15.2,7.2,44974.0
Central African Republic,1546.0,33.6,37475.0,,,,,,428.0
Chad,3990.0,27.6,1124000.0,,,,,,719.0
Chile,2245.0,12.5,4960945.0,42.0,8.7,5.7,36.0,7.7,15347.0
China,256180.0,18.2,294694457.0,,,,,,8682.0
